Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Information Technology,,8.48%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Healthcare,,8.39%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Consumer Services,,5.61%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Sovereign,,25.42%,Bandhan Retirement Fund,Retirement Fund
Miscellaneous,,21.24%,Bandhan Retirement Fund,Retirement Fund
Financial Services,,14.30%,Bandhan Retirement Fund,Retirement Fund
Current Assets,,4.60%,Bandhan Retirement Fund,Retirement Fund
"Oil, Gas & Consumable Fuels",,4.43%,Bandhan Retirement Fund,Retirement Fund
Financial Services,,43.29%,Franklin India Pension Plan,Retirement Fund
Sovereign,,20.98%,Franklin India Pension Plan,Retirement Fund
"Oil, Gas & Consumable Fuels",,6.17%,Franklin India Pension Plan,Retirement Fund
Information Technology,,4.57%,Franklin India Pension Plan,Retirement Fund
Current Assets,,3.34%,Franklin India Pension Plan,Retirement Fund
Financial Services,,29.32%,HDFC Retirement Savings Fund - Equity Plan,Retirement Fund
Current Assets,,10.13%,HDFC Retirement Savings Fund - Equity Plan,Retirement Fund
Capital Goods,,9.02%,HDFC Retirement Savings Fund - Equity Plan,Retirement Fund
Healthcare,,8.63%,HDFC Retirement Savings Fund - Equity Plan,Retirement Fund
Information Technology,,6.72%,HDFC Retirement Savings Fund - Equity Plan,Retirement Fund
Financial Services,,27.17%,HDFC Retirement Savings Fund - Hybrid - Debt Plan,Retirement Fund
Sovereign,,26.96%,HDFC Retirement Savings Fund - Hybrid - Debt Plan,Retirement Fund
Healthcare,,10.47%,HDFC Retirement Savings Fund - Hybrid - Debt Plan,Retirement Fund
Current Assets,,10.22%,HDFC Retirement Savings Fund - Hybrid - Debt Plan,Retirement Fund
Information Technology,,9.14%,HDFC Retirement Savings Fund - Hybrid - Debt Plan,Retirement Fund
Financial Services,,26.39%,HDFC Retirement Savings Fund - Hybrid - Equity Plan,Retirement Fund
Sovereign,,11.86%,HDFC Retirement Savings Fund - Hybrid - Equity Plan,Retirement Fund
Current Assets,,9.35%,HDFC Retirement Savings Fund - Hybrid - Equity Plan,Retirement Fund
Automobile and Auto Components,,7.67%,HDFC Retirement Savings Fund - Hybrid - Equity Plan,Retirement Fund
Capital Goods,,7.50%,HDFC Retirement Savings Fund - Hybrid - Equity Plan,Retirement Fund
Financial Services,,12.89%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,Retirement Fund
Metals & Mining,,11.48%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,Retirement Fund
Capital Goods,,9.99%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,Retirement Fund
Construction Materials,,8.64%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,Retirement Fund
Automobile and Auto Components,,7.66%,ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,Retirement Fund
Sovereign,,29.66%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,Retirement Fund
Financial Services,,26.26%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,Retirement Fund
"Oil, Gas & Consumable Fuels",,11.57%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,Retirement Fund
Current Assets,,5.58%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,Retirement Fund
Diversified,,5.26%,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,Retirement Fund
Sovereign,,60.86%,ICICI Prudential Retirement Fund - Pure Debt Plan,Retirement Fund
Financial Services,,20.13%,ICICI Prudential Retirement Fund - Pure Debt Plan,Retirement Fund
Power,,6.41%,ICICI Prudential Retirement Fund - Pure Debt Plan,Retirement Fund
Current Assets,,5.63%,ICICI Prudential Retirement Fund - Pure Debt Plan,Retirement Fund
"Oil, Gas & Consumable Fuels",,3.83%,ICICI Prudential Retirement Fund - Pure Debt Plan,Retirement Fund
Metals & Mining,,12.21%,ICICI Prudential Retirement Fund - Pure Equity Plan,Retirement Fund
Capital Goods,,11.66%,ICICI Prudential Retirement Fund - Pure Equity Plan,Retirement Fund
Construction Materials,,10.83%,ICICI Prudential Retirement Fund - Pure Equity Plan,Retirement Fund
Automobile and Auto Components,,10.78%,ICICI Prudential Retirement Fund - Pure Equity Plan,Retirement Fund
Financial Services,,9.81%,ICICI Prudential Retirement Fund - Pure Equity Plan,Retirement Fund
Sovereign,,76.66%,Nippon India Retirement Fund - Income Generation Scheme,Retirement Fund
Financial Services,,6.93%,Nippon India Retirement Fund - Income Generation Scheme,Retirement Fund
Current Assets,,3.42%,Nippon India Retirement Fund - Income Generation Scheme,Retirement Fund
Information Technology,,2.55%,Nippon India Retirement Fund - Income Generation Scheme,Retirement Fund
"Oil, Gas & Consumable Fuels",,2.20%,Nippon India Retirement Fund - Income Generation Scheme,Retirement Fund
Financial Services,,30.63%,Nippon India Retirement Fund - Wealth Creation Scheme,Retirement Fund
Information Technology,,9.36%,Nippon India Retirement Fund - Wealth Creation Scheme,Retirement Fund
Capital Goods,,8.59%,Nippon India Retirement Fund - Wealth Creation Scheme,Retirement Fund
"Oil, Gas & Consumable Fuels",,8.13%,Nippon India Retirement Fund - Wealth Creation Scheme,Retirement Fund
Automobile and Auto Components,,6.75%,Nippon India Retirement Fund - Wealth Creation Scheme,Retirement Fund
Financial Services,,25.37%,SBI Retirement Benefit Fund - Aggressive Hybrid Plan,Retirement Fund
Sovereign,,16.04%,SBI Retirement Benefit Fund - Aggressive Hybrid Plan,Retirement Fund
Automobile and Auto Components,,13.07%,SBI Retirement Benefit Fund - Aggressive Hybrid Plan,Retirement Fund
Capital Goods,,11.88%,SBI Retirement Benefit Fund - Aggressive Hybrid Plan,Retirement Fund
Information Technology,,6.44%,SBI Retirement Benefit Fund - Aggressive Hybrid Plan,Retirement Fund
Financial Services,,29.95%,SBI Retirement Benefit Fund - Aggressive Plan,Retirement Fund
Automobile and Auto Components,,15.37%,SBI Retirement Benefit Fund - Aggressive Plan,Retirement Fund
Capital Goods,,13.77%,SBI Retirement Benefit Fund - Aggressive Plan,Retirement Fund
Information Technology,,8.03%,SBI Retirement Benefit Fund - Aggressive Plan,Retirement Fund
Consumer Services,,6.18%,SBI Retirement Benefit Fund - Aggressive Plan,Retirement Fund
Financial Services,,32.36%,SBI Retirement Benefit Fund - Conservative Hybrid Plan,Retirement Fund
Sovereign,,14.90%,SBI Retirement Benefit Fund - Conservative Hybrid Plan,Retirement Fund
Current Assets,,12.92%,SBI Retirement Benefit Fund - Conservative Hybrid Plan,Retirement Fund
Automobile and Auto Components,,6.31%,SBI Retirement Benefit Fund - Conservative Hybrid Plan,Retirement Fund
Telecommunication,,5.99%,SBI Retirement Benefit Fund - Conservative Hybrid Plan,Retirement Fund
Financial Services,,36.06%,SBI Retirement Benefit Fund - Conservative Plan,Retirement Fund
Sovereign,,22.73%,SBI Retirement Benefit Fund - Conservative Plan,Retirement Fund
Current Assets,,9.30%,SBI Retirement Benefit Fund - Conservative Plan,Retirement Fund
Telecommunication,,9.16%,SBI Retirement Benefit Fund - Conservative Plan,Retirement Fund
Realty,,6.54%,SBI Retirement Benefit Fund - Conservative Plan,Retirement Fund
Sovereign,,38.05%,Tata Retirement Savings Fund - Conservative Plan,Retirement Fund
Financial Services,,19.71%,Tata Retirement Savings Fund - Conservative Plan,Retirement Fund
Current Assets,,7.74%,Tata Retirement Savings Fund - Conservative Plan,Retirement Fund
Power,,6.28%,Tata Retirement Savings Fund - Conservative Plan,Retirement Fund
Fast Moving Consumer Goods,,5.08%,Tata Retirement Savings Fund - Conservative Plan,Retirement Fund
Financial Services,,19.78%,Tata Retirement Savings Fund - Moderate Plan,Retirement Fund
Capital Goods,,12.36%,Tata Retirement Savings Fund - Moderate Plan,Retirement Fund
Fast Moving Consumer Goods,,11.60%,Tata Retirement Savings Fund - Moderate Plan,Retirement Fund
Consumer Durables,,7.89%,Tata Retirement Savings Fund - Moderate Plan,Retirement Fund
Current Assets,,6.29%,Tata Retirement Savings Fund - Moderate Plan,Retirement Fund
Financial Services,,20.90%,Tata Retirement Savings Fund - Progressive Plan,Retirement Fund
Fast Moving Consumer Goods,,12.84%,Tata Retirement Savings Fund - Progressive Plan,Retirement Fund
Capital Goods,,11.98%,Tata Retirement Savings Fund - Progressive Plan,Retirement Fund
Consumer Durables,,8.90%,Tata Retirement Savings Fund - Progressive Plan,Retirement Fund
Information Technology,,6.93%,Tata Retirement Savings Fund - Progressive Plan,Retirement Fund
Financial Services,,28.22%,Union Retirement Fund,Retirement Fund
Automobile and Auto Components,,10.34%,Union Retirement Fund,Retirement Fund
Capital Goods,,8.82%,Union Retirement Fund,Retirement Fund
Information Technology,,8.22%,Union Retirement Fund,Retirement Fund
Current Assets,,5.74%,Union Retirement Fund,Retirement Fund
Financial Services,,36.66%,UTI Retirement Fund,Retirement Fund
Sovereign,,30.92%,UTI Retirement Fund,Retirement Fund
Automobile and Auto Components,,4.47%,UTI Retirement Fund,Retirement Fund
Information Technology,,4.16%,UTI Retirement Fund,Retirement Fund
"Oil, Gas & Consumable Fuels",,3.86%,UTI Retirement Fund,Retirement Fund
Financial Services,,97.58%,Aditya Birla Sun Life Banking and Financial Services Fund,Sectoral
Current Assets,,2.00%,Aditya Birla Sun Life Banking and Financial Services Fund,Sectoral
Mutual Funds,,0.42%,Aditya Birla Sun Life Banking and Financial Services Fund,Sectoral
Information Technology,,77.65%,Aditya Birla Sun Life Digital India Fund,Sectoral
Telecommunication,,7.44%,Aditya Birla Sun Life Digital India Fund,Sectoral
Consumer Services,,4.10%,Aditya Birla Sun Life Digital India Fund,Sectoral
Current Assets,,3.10%,Aditya Birla Sun Life Digital India Fund,Sectoral
Services,,2.59%,Aditya Birla Sun Life Digital India Fund,Sectoral
Capital Goods,,27.04%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
Construction,,23.90%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
Financial Services,,7.29%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
Construction Materials,,6.68%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
"Oil, Gas & Consumable Fuels",,5.57%,Aditya Birla Sun Life Infrastructure Fund,Sectoral
Healthcare,,93.02%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Current Assets,,4.41%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Financial Services,,1.28%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Consumer Services,,0.73%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Chemicals,,0.56%,Aditya Birla Sun Life Pharma & Healthcare Fund,Sectoral
Financial Services,,94.51%,Bandhan Financial Services Fund,Sectoral
Current Assets,,4.79%,Bandhan Financial Services Fund,Sectoral
Miscellaneous,,0.70%,Bandhan Financial Services Fund,Sectoral
Construction,,32.23%,Bandhan Infrastructure Fund,Sectoral
Capital Goods,,23.36%,Bandhan Infrastructure Fund,Sectoral
Construction Materials,,12.49%,Bandhan Infrastructure Fund,Sectoral
Services,,8.77%,Bandhan Infrastructure Fund,Sectoral
Power,,7.91%,Bandhan Infrastructure Fund,Sectoral
Automobile and Auto Components,,71.31%,Bandhan Transportation and Logistics Fund,Sectoral
Services,,14.76%,Bandhan Transportation and Logistics Fund,Sectoral
Capital Goods,,6.57%,Bandhan Transportation and Logistics Fund,Sectoral
Consumer Services,,3.10%,Bandhan Transportation and Logistics Fund,Sectoral
Current Assets,,2.41%,Bandhan Transportation and Logistics Fund,Sectoral
Capital Goods,,17.38%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
Automobile and Auto Components,,13.35%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
Construction,,11.16%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
"Oil, Gas & Consumable Fuels",,9.75%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
Realty,,7.16%,Bank of India Manufacturing & Infrastructure Fund,Sectoral
Financial Services,,97.31%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Current Assets,,2.22%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Information Technology,,1.04%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Sovereign,,0.44%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Miscellaneous,,-1.01%,Baroda BNP Paribas Banking & Financial Services Fund,Sectoral
Financial Services,,58.91%,DSP Banking and Financial Services Fund,Sectoral
Current Assets,,41.09%,DSP Banking and Financial Services Fund,Sectoral
Healthcare,,95.51%,DSP Healthcare Fund,Sectoral
Financial Services,,1.69%,DSP Healthcare Fund,Sectoral
Mutual Funds,,1.23%,DSP Healthcare Fund,Sectoral
Current Assets,,0.85%,DSP Healthcare Fund,Sectoral
Consumer Services,,0.71%,DSP Healthcare Fund,Sectoral
"Oil, Gas & Consumable Fuels",,36.43%,DSP Natural Resources & New Energy Fund,Sectoral
Metals & Mining,,35.59%,DSP Natural Resources & New Energy Fund,Sectoral
Mutual Funds,,15.61%,DSP Natural Resources & New Energy Fund,Sectoral
Current Assets,,8.70%,DSP Natural Resources & New Energy Fund,Sectoral
Capital Goods,,3.67%,DSP Natural Resources & New Energy Fund,Sectoral
Financial Services,,99.39%,HDFC Banking & Financial Services Fund,Sectoral
Current Assets,,0.61%,HDFC Banking & Financial Services Fund,Sectoral
Financial Services,,36.99%,HDFC Business Cycle Fund,Sectoral
Construction,,9.88%,HDFC Business Cycle Fund,Sectoral
Capital Goods,,9.47%,HDFC Business Cycle Fund,Sectoral
Healthcare,,8.37%,HDFC Business Cycle Fund,Sectoral
Information Technology,,6.31%,HDFC Business Cycle Fund,Sectoral
Capital Goods,,82.77%,HDFC Defence Fund,Sectoral
Chemicals,,13.53%,HDFC Defence Fund,Sectoral
Construction,,2.56%,HDFC Defence Fund,Sectoral
Current Assets,,1.15%,HDFC Defence Fund,Sectoral
Healthcare,,96.70%,HDFC Pharma and Healthcare Fund,Sectoral
Current Assets,,1.33%,HDFC Pharma and Healthcare Fund,Sectoral
Financial Services,,1.01%,HDFC Pharma and Healthcare Fund,Sectoral
Capital Goods,,0.50%,HDFC Pharma and Healthcare Fund,Sectoral
Consumer Services,,0.47%,HDFC Pharma and Healthcare Fund,Sectoral
Capital Goods,,39.80%,HSBC Infrastructure Fund,Sectoral
Construction,,17.06%,HSBC Infrastructure Fund,Sectoral
Construction Materials,,8.71%,HSBC Infrastructure Fund,Sectoral
Power,,7.94%,HSBC Infrastructure Fund,Sectoral
"Oil, Gas & Consumable Fuels",,5.93%,HSBC Infrastructure Fund,Sectoral
Financial Services,,89.82%,ICICI Prudential Banking and Financial Services Fund,Sectoral
Current Assets,,5.57%,ICICI Prudential Banking and Financial Services Fund,Sectoral
Miscellaneous,,3.13%,ICICI Prudential Banking and Financial Services Fund,Sectoral
Sovereign,,1.27%,ICICI Prudential Banking and Financial Services Fund,Sectoral
Information Technology,,0.21%,ICICI Prudential Banking and Financial Services Fund,Sectoral
Metals & Mining,,40.97%,ICICI Prudential Commodities Fund,Sectoral
Construction Materials,,29.28%,ICICI Prudential Commodities Fund,Sectoral
Chemicals,,13.96%,ICICI Prudential Commodities Fund,Sectoral
"Oil, Gas & Consumable Fuels",,10.70%,ICICI Prudential Commodities Fund,Sectoral
Current Assets,,5.69%,ICICI Prudential Commodities Fund,Sectoral
Fast Moving Consumer Goods,,87.44%,ICICI Prudential FMCG Fund,Sectoral
Current Assets,,6.77%,ICICI Prudential FMCG Fund,Sectoral
Consumer Services,,2.41%,ICICI Prudential FMCG Fund,Sectoral
Sovereign,,1.61%,ICICI Prudential FMCG Fund,Sectoral
Consumer Durables,,1.51%,ICICI Prudential FMCG Fund,Sectoral
Information Technology,,73.30%,ICICI Prudential Technology Fund,Sectoral
Telecommunication,,10.58%,ICICI Prudential Technology Fund,Sectoral
Consumer Services,,4.96%,ICICI Prudential Technology Fund,Sectoral
Services,,4.17%,ICICI Prudential Technology Fund,Sectoral
Current Assets,,2.87%,ICICI Prudential Technology Fund,Sectoral
Automobile and Auto Components,,74.30%,ICICI Prudential Transportation and Logistics Fund,Sectoral
Services,,12.51%,ICICI Prudential Transportation and Logistics Fund,Sectoral
Capital Goods,,6.12%,ICICI Prudential Transportation and Logistics Fund,Sectoral
Consumer Services,,4.54%,ICICI Prudential Transportation and Logistics Fund,Sectoral
Sovereign,,1.34%,ICICI Prudential Transportation and Logistics Fund,Sectoral
Financial Services,,97.73%,Invesco India Financial Services Fund,Sectoral
Current Assets,,2.27%,Invesco India Financial Services Fund,Sectoral
Financial Services,,95.65%,ITI Banking and Financial Services Fund,Sectoral
Current Assets,,4.35%,ITI Banking and Financial Services Fund,Sectoral
Healthcare,,93.41%,ITI Pharma and Healthcare Fund,Sectoral
Chemicals,,4.34%,ITI Pharma and Healthcare Fund,Sectoral
Current Assets,,2.24%,ITI Pharma and Healthcare Fund,Sectoral
Financial Services,,95.26%,Kotak Banking & Financial Services Fund,Sectoral
Current Assets,,4.74%,Kotak Banking & Financial Services Fund,Sectoral
Financial Services,,52.06%,Axis Short Term Fund,Short Duration Fund
Sovereign,,27.64%,Axis Short Term Fund,Short Duration Fund
Current Assets,,7.93%,Axis Short Term Fund,Short Duration Fund
Realty,,6.55%,Axis Short Term Fund,Short Duration Fund
Telecommunication,,2.54%,Axis Short Term Fund,Short Duration Fund
Capital Goods,,17.94%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Financial Services,,16.34%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Information Technology,,8.66%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Automobile and Auto Components,,7.54%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Consumer Durables,,6.92%,Aditya Birla Sun Life Small Cap Fund,Small cap Fund
Financial Services,,14.17%,Axis Small Cap Fund,Small cap Fund
Healthcare,,12.57%,Axis Small Cap Fund,Small cap Fund
Capital Goods,,11.62%,Axis Small Cap Fund,Small cap Fund
Automobile and Auto Components,,10.55%,Axis Small Cap Fund,Small cap Fund
Information Technology,,9.80%,Axis Small Cap Fund,Small cap Fund
Financial Services,,22.96%,Bandhan Small Cap Fund,Small cap Fund
Capital Goods,,12.32%,Bandhan Small Cap Fund,Small cap Fund
Current Assets,,8.32%,Bandhan Small Cap Fund,Small cap Fund
Healthcare,,7.26%,Bandhan Small Cap Fund,Small cap Fund
Automobile and Auto Components,,5.92%,Bandhan Small Cap Fund,Small cap Fund
Financial Services,,20.97%,Bank of India Small Cap Fund,Small cap Fund
Capital Goods,,20.30%,Bank of India Small Cap Fund,Small cap Fund
Healthcare,,10.12%,Bank of India Small Cap Fund,Small cap Fund
Fast Moving Consumer Goods,,9.34%,Bank of India Small Cap Fund,Small cap Fund
Automobile and Auto Components,,8.92%,Bank of India Small Cap Fund,Small cap Fund
Financial Services,,24.15%,Baroda BNP Paribas Small Cap Fund,Small cap Fund
Capital Goods,,12.29%,Baroda BNP Paribas Small Cap Fund,Small cap Fund
Information Technology,,9.26%,Baroda BNP Paribas Small Cap Fund,Small cap Fund
Healthcare,,7.22%,Baroda BNP Paribas Small Cap Fund,Small cap Fund
Automobile and Auto Components,,6.35%,Baroda BNP Paribas Small Cap Fund,Small cap Fund
Financial Services,,24.67%,Canara Robeco Small Cap Fund,Small cap Fund
Capital Goods,,20.03%,Canara Robeco Small Cap Fund,Small cap Fund
Healthcare,,10.29%,Canara Robeco Small Cap Fund,Small cap Fund
Consumer Durables,,6.09%,Canara Robeco Small Cap Fund,Small cap Fund
Consumer Services,,5.48%,Canara Robeco Small Cap Fund,Small cap Fund
Capital Goods,,20.61%,DSP Small Cap Fund,Small cap Fund
Consumer Durables,,14.07%,DSP Small Cap Fund,Small cap Fund
Chemicals,,11.11%,DSP Small Cap Fund,Small cap Fund
Healthcare,,7.99%,DSP Small Cap Fund,Small cap Fund
Fast Moving Consumer Goods,,7.88%,DSP Small Cap Fund,Small cap Fund
Capital Goods,,19.46%,Edelweiss Small Cap Fund,Small cap Fund
Financial Services,,18.13%,Edelweiss Small Cap Fund,Small cap Fund
Healthcare,,12.13%,Edelweiss Small Cap Fund,Small cap Fund
Consumer Durables,,8.53%,Edelweiss Small Cap Fund,Small cap Fund
Information Technology,,6.26%,Edelweiss Small Cap Fund,Small cap Fund
Financial Services,,20.03%,Franklin India Smaller Companies Fund,Small cap Fund
Capital Goods,,12.65%,Franklin India Smaller Companies Fund,Small cap Fund
Information Technology,,7.78%,Franklin India Smaller Companies Fund,Small cap Fund
Healthcare,,7.14%,Franklin India Smaller Companies Fund,Small cap Fund
Current Assets,,6.49%,Franklin India Smaller Companies Fund,Small cap Fund
